"","id","year_2030_SSP1","year_2030_SSP2","year_2030_SSP3","year_2030_SSP1_TotalWTP","year_2030_SSP2_TotalWTP","year_2030_SSP3_TotalWTP","year_2050_SSP1","year_2050_SSP2","year_2050_SSP3","year_2050_SSP1_TotalWTP","year_2050_SSP2_TotalWTP","year_2050_SSP3_TotalWTP","year_2100_SSP1","year_2100_SSP2","year_2100_SSP3","year_2100_SSP1_TotalWTP","year_2100_SSP2_TotalWTP","year_2100_SSP3_TotalWTP"
"1979",11779,-0.0228361839257185,-0.0600504440477107,-0.0460201455253463,-1236.7495966123,-3252.17920358201,-2492.33394684705,-0.0749862613705794,-0.0796760543244102,-0.0661013619869537,-4061.06505374061,-4315.05230321767,-3579.88151780558,-0.0915185830754384,-0.14723954848906,-0.20487600018867,-4956.41351765458,-7974.11917821083,-11095.5627005402
"1980",1178,-0.0035326930498956,-0.00337514050818745,-0.00193844888539035,0,0,0,-0.0105638103085106,-0.00857358125479876,-0.00688012661176322,0,0,0,-0.015561540144659,-0.0158702903538159,-0.0208021867805657,0,0,0
"1981",11780,-0.0230965698796185,-0.0903477878203928,-0.0631762787692418,-26.1960736080608,-102.472242086345,-71.6543823411131,-0.118656258696999,-0.117438914470222,-0.0815084593666619,-134.579641179819,-133.198932306718,-92.446697166617,-0.159210150270942,-0.250552667801098,-0.343817454484232,-180.575766764761,-284.176228878275,-389.95692400857
"1982",11781,-0.0283610139462705,-0.0584089316067854,-0.0496787078200958,-215.141975752545,-443.08052495181,-376.854486708305,-0.0612312342801173,-0.0703983875305901,-0.0717715064996738,-464.490047702394,-534.030560819078,-544.446814924507,-0.0495622431128788,-0.111451687867866,-0.174000374504066,-375.971004641565,-845.454128483369,-1319.93815254304
"1983",11782,-0.0449683858709881,-0.119628636730871,-0.0910555554668845,0,0,0,-0.152254469764542,-0.160881491805154,-0.131010877938619,0,0,0,-0.195111931128281,-0.301640291703166,-0.413506413622171,0,0,0
"1984",11783,-0.0230698755011178,-0.0902044438515228,-0.0630814228003934,-12.4999190370412,-48.8753502319825,-34.1793208943879,-0.118464980695947,-0.117256718351886,-0.0813960945168199,-64.1877181934613,-63.5330470628982,-44.102734379399,-0.158953063763333,-0.250139991101284,-0.343243014443095,-86.1253207731895,-135.533008686621,-185.978892272773
"1985",11784,0.169261032671971,0.00883821972966185,0.0472935625466733,26.8645755936575,1.40277427292439,7.50628461892201,0.13246537836015,0.291666856836839,0.396400210506917,21.0244857562421,46.2924407346786,62.9153872713448,0.187415346869401,-0.0466522811858922,-0.224690147235009,29.7459709060271,-7.40450247023989,-35.6621092891659
"1986",11785,-0.0952197430852926,-0.213669579588837,-0.204786745473701,-31.2236880152471,-70.0648003792117,-67.1520132605386,-0.00760632269756681,-0.0582234386492493,-0.255429922379612,-2.49420381904813,-19.09215909069,-83.7585142295103,0.699910920154971,-0.0999319785512293,-0.487534625920839,229.509128057696,-32.7688861566766,-159.868411351907
"1987",11786,-0.00388094656105605,-0.0105318369163669,-0.00780457859228767,-1.27260860720572,-3.45351478011804,-2.55921428855132,-0.013905693563185,-0.0148037424261361,-0.0119006951828113,-4.55984256399007,-4.8543234837098,-3.90237971152484,-0.0173944558747884,-0.0269343532794056,-0.0367611711030938,-5.70384928410149,-8.83209528233337,-12.0544259037746
"1988",11787,-0.049555845984598,-0.118180602445283,-0.0942721622826937,-56.2061204710667,-134.040153011358,-106.923258095036,-0.14386288249714,-0.154827963744696,-0.134694282790352,-163.168932833117,-175.605501422154,-152.769929255802,-0.184318172545667,-0.283722400043466,-0.392617647225844,-209.053224806786,-321.79725883682,-445.305984401945
